OBJECTID_1,OBJECTID,FEATUREGUI,FCODE,FLOOR,FSCALE,USOURCE,UPDATETIME,UPDATESTAT,Shape_Leng,ORIG_FID,POINT_X,POINT_Y
1,55698,eac25f497a1644ebb0ffc776f3e6785b,3103011500,5,16,衢州入库数据,20160713,A,0.00144811243,0,118.86752057100,28.90913140570
2,55718,6ddcb3fd0c474becb652dc71f4bd3ca9,3103011500,6,16,衢州入库数据,20160713,A,0.00029406213,1,118.87275731600,28.90941877600
3,55729,d0d8b410721e4ff2ae78c56c6135e215,3103011500,5,16,衢州入库数据,20160713,A,0.00021639123,2,118.87253549800,28.90966802670
4,55730,49f5f417b14243488420a1bdfae8bfd6,3103011500,5,16,衢州入库数据,20160713,A,0.00086598498,3,118.87268064700,28.90956151550
5,55832,9e564159329148b1b9f6ac4cf1b92dfd,3103011500,5,16,衢州入库数据,20160713,A,0.00099032982,4,118.87432465800,28.91176165020
6,55949,aff6e408384b4db29dedfbf42d21d2d4,3103011500,5,16,衢州入库数据,20160713,A,0.00088750730,5,118.88038666200,28.90735225890
7,56129,f6bbc9c8436e4c378d8b42e6d3988f7f,3103011500,5,16,衢州入库数据,20160713,A,0.00157773488,6,118.88516093900,28.91078575270
8,56138,13cb8349ded24465b9a0110928c5a616,3103011500,6,16,衢州入库数据,20160713,A,0.00054491785,7,118.88360390900,28.91124567940
9,56144,1809d45189094c4a82407d2ac5ac365d,3103011500,5,16,衢州入库数据,20160713,A,0.00076393426,8,118.88371614800,28.91127937070
10,56150,e50d254bb5e4410f86e4f0e9b98b8b42,3103011500,5,16,衢州入库数据,20160713,A,0.00027628990,9,118.88499776900,28.91132839640
11,56200,fdefe89372114fb2975c8763062909fe,3103011500,5,16,衢州入库数据,20160713,A,0.00030259115,10,118.88576340500,28.91257233860
12,56305,f7d10bc2732a4c68a1ad646c52c3270a,3103011500,5,16,衢州入库数据,20160713,A,0.00116225895,11,118.88844332200,28.90765682060
